Buddu,Masaka,Kyanamukaka,Bugere,Kamugenyi (Village)
Buddu,Masaka,Kyesiiga,Kitunga,Kitunga A
Buddu,Masaka,Kyesiiga,Kitunga,Kitunga B
Buddu,Masaka,Kyesiiga,Kyesiiga,Birongo
Buddu,Masaka,Kyesiiga,Kyesiiga,Bunyuma
Buddu,Masaka,Kyesiiga,Kyesiiga,Kabanda
Buddu,Masaka,Kyesiiga,Kyesiiga,Kyatokolo
Buddu,Masaka,Kyesiiga,Kyesiiga,Mulema
Buddu,Masaka,Kyesiiga,Kyesiiga,Lwemodde
Buddu,Masaka,Katwe/Butego,Butego,Butego
Buddu,Masaka,Katwe/Butego,Butego,Kamugombwa
Buddu,Masaka,Katwe/Butego,Butego,Kirumba A
Buddu,Masaka,Katwe/Butego,Butego,Kirumba B
Buddu,Masaka,Katwe/Butego,Butego,Kiyimbwe
Buddu,Masaka,Katwe/Butego,Butego,Ssaza
Buddu,Masaka,Katwe/Butego,Butego,Namasenene
Buddu,Masaka,Katwe/Butego,Butego,UTC Masaka
Buddu,Masaka,Katwe/Butego,Katwe,Bata Cell
Buddu,Masaka,Katwe/Butego,Katwe,Bwala
Buddu,Masaka,Katwe/Butego,Katwe,Cinema Cell
Buddu,Masaka,Katwe/Butego,Katwe,Folk Land Cell
Buddu,Masaka,Katwe/Butego,Katwe,Kanoni
Buddu,Masaka,Katwe/Butego,Katwe,Kirumba -Katwe
Buddu,Masaka,Katwe/Butego,Katwe,Kisuuna
Buddu,Masaka,Katwe/Butego,Katwe,Kitabazi
Buddu,Masaka,Katwe/Butego,Katwe,Mutuba-Musisi Gardens
Buddu,Masaka,Katwe/Butego,Katwe,Town Yard/Soweto
Buddu,Masaka,Katwe/Butego,Katwe,Market Cell Kirumba- Katwe
Buddu,Masaka,Kimaanya/ Kyabakuza,Kimaanya,Kassijagirwa
Buddu,Masaka,Kimaanya/ Kyabakuza,Kimaanya,Kijjabwemi A
Buddu,Masaka,Kimaanya/ Kyabakuza,Kimaanya,Kijjabwemi B
Buddu,Masaka,Kimaanya/ Kyabakuza,Kimaanya,Kimaanya A
Buddu,Masaka,Kimaanya/ Kyabakuza,Kimaanya,Kimaanya B
Buddu,Masaka,Kimaanya/ Kyabakuza,Kimaanya,Kizungu
Buddu,Masaka,Kimaanya/ Kyabakuza,Kimaanya,Kumbu H.E
Buddu,Masaka,Kimaanya/ Kyabakuza,Kimaanya,New Kkumbu
Buddu,Masaka,Kimaanya/ Kyabakuza,Kimaanya,Gayaaza
Buddu,Masaka,Nyendo/ Senyange,Nyendo,Binyonyi 
Buddu,Masaka,Nyendo/ Senyange,Nyendo,Kitovu Road
Buddu,Masaka,Nyendo/ Senyange,Nyendo,Mukudde
Buddu,Masaka,Nyendo/ Senyange,Nyendo,Nakayiba A
Buddu,Masaka,Nyendo/ Senyange,Nyendo,Nakayiba B
Buddu,Masaka,Nyendo/ Senyange,Nyendo,Kyakumpi
Buddu,Masaka,Nyendo/ Senyange,Nyendo,Kayirikiti
Buddu,Masaka,Nyendo/ Senyange,Senyange,Buchulo
Buddu,Masaka,Nyendo/ Senyange,Senyange,Kitovu Hospital
Buddu,Masaka,Nyendo/ Senyange,Senyange,Kitovu-Kasana
Buddu,Masaka,Nyendo/ Senyange,Senyange,Ssenyange A
Buddu,Masaka,Nyendo/ Senyange,Senyange,Ssenyange B
Buddu,Masaka,Nyendo/ Senyange,Senyange,St.Henry's College Kitovu
Buddu,Bukomansimbi,Bigasa,Bukango,Bukango
Buddu,Bukomansimbi,Bigasa,Bukango,Kabulassoke A
Buddu,Bukomansimbi,Bigasa,Bukango,Kabulassoke B
Buddu,Bukomansimbi,Bigasa,Bukango,Kyabamuyigga
Buddu,Bukomansimbi,Bigasa,Bukango,Lusaka Town Council
Buddu,Bukomansimbi,Bigasa,Bukango,Lusaka (Village)
Buddu,Bukomansimbi,Bigasa,Mbirizi,Bigasa A Town Council 
Buddu,Bukomansimbi,Bigasa,Mbirizi,Bigasa A (Village)
Buddu,Bukomansimbi,Bigasa,Mbirizi,Bigasa B Town Council
Buddu,Bukomansimbi,Bigasa,Mbirizi,Bigasa B (Village)
Buddu,Bukomansimbi,Bigasa,Mbirizi,Mbirizi Town Council
Buddu,Bukomansimbi,Bigasa,Mbirizi,Mbirizi (Village)
Buddu,Bukomansimbi,Butenga,Kassebwera,Buyovu
Buddu,Bukomansimbi,Butenga,Kassebwera,Gayaza
Buddu,Bukomansimbi,Butenga,Kassebwera,Kassebwera
Buddu,Bukomansimbi,Butenga,Kawoko,Bukiri
Buddu,Bukomansimbi,Butenga,Kawoko,Butenga (Gombolola HQ)
Buddu,Bukomansimbi,Butenga,Kawoko,Butenga A
Buddu,Bukomansimbi,Butenga,Kawoko,Butenga Town Council
Buddu,Bukomansimbi,Butenga,Kawoko,Butenga (Village)
Buddu,Bukomansimbi,Butenga,Kawoko,Gayaza 
Buddu,Bukomansimbi,Butenga,Kawoko,Makoomi
Buddu,Bukomansimbi,Butenga,Kawoko,Mukunyu
Buddu,Bukomansimbi,Butenga,Kyankole,Kabulassoke
Buddu,Bukomansimbi,Butenga,Kyankole,Kasswa A
Buddu,Bukomansimbi,Butenga,Kyankole,Kasswa B
Buddu,Bukomansimbi,Butenga,Kyankole,Lugazi
Buddu,Bukomansimbi,Kitanda,Gayaaza,Gayaaza
Buddu,Bukomansimbi,Kitanda,Gayaaza,Kasambya
Buddu,Bukomansimbi,Kitanda,Luwoko,Buyembe
Buddu,Bukomansimbi,Kitanda,Luwoko,Kitwekyenjovu
Buddu,Bukomansimbi,Kitanda,Luwoko,Luwoko
Buddu,Bukomansimbi,Kitanda,Mitigyera,Kayanja
Buddu,Bukomansimbi,Kitanda,Mitigyera,Lwamalenge
Buddu,Bukomansimbi,Kitanda,Mitigyera,Mitigyeera
Buddu,Bukomansimbi,Kitanda,Mitigyera,Nakateete
Buddu,Bukomansimbi,Kitanda,Ndeeba,Sikamitumba
Buddu,Bukomansimbi,Kitanda,Ndeeba,Vvunza
Buddu,Lwengo,Lwengo,Kalisizo,Lwengo (Gombolola)
Buddu,Lwengo,Lwengo,Lwengo Ward,Lwengo
Buddu,Lwengo,Kingo,Kasaana,Kalunduka
Buddu,Lwengo,Kingo,Kasaana,Kasaana A Town Council
Buddu,Lwengo,Kingo,Kasaana,Kasaana A
Buddu,Lwengo,Kingo,Kasaana,Kasaana B
Buddu,Lwengo,Kingo,Kasaana,Kamenyamigo
Buddu,Lwengo,Kingo,Kasaana,Nzizi 
Buddu,Lwengo,Kingo,Kasaana,Ttagga
Buddu,Lwengo,Kisekka,Busubi,Busubi
Buddu,Lwengo,Kisekka,Busubi,Kabagala
Buddu,Lwengo,Kisekka,Busubi,Kiswera
Buddu,Lwengo,Kisekka,Busubi,Kyassonko
Buddu,Lwengo,Kisekka,Busubi,Kyekulula Town Council
Buddu,Lwengo,Kisekka,Busubi,Kyekulula (Village)
Buddu,Lwengo,Kisekka,Busubi,Kyetume
Buddu,Kalungu,Bukulula,Kiti,Bukulula
Buddu,Kalungu,Bukulula,Kyambala,Kyambala
Buddu,Kalungu,Bukulula,Kyambala,Kisawo
Buddu,Kalungu,Bukulula,Kyambala,Mitete
Buddu,Kalungu,Bukulula,Kyambala,Mutumba
Buddu,Kalungu,Bukulula,Kyambala,Muwoomya
Buddu,Kalungu,Bukulula,Kyambala,Nantaba
Buddu,Kalungu,Bukulula,Mukoko,Kasasa West (Gombolola)
Buddu,Kalungu,Lwabenge,Bugomola,Bugomola 'A'
Buddu,Kalungu,Lwabenge,Bugomola,Bugomola 'B'
Buddu,Kalungu,Lwabenge,Bugomola,Kityaba
Buddu,Kalungu,Lwabenge,Bwesa,Bwesa 'A'
Buddu,Kalungu,Lwabenge,Bwesa,Bwesa 'B'
Buddu,Kalungu,Lwabenge,Bwesa,Lukenke 'A'
Buddu,Kalungu,Lwabenge,Bwesa,Lukenke 'B'
Buddu,Kalungu,Lwabenge,Bwesa,Lukenke 'C'
Buddu,Kalungu,Lwabenge,Kiragga,Birongo 'A'
Buddu,Kalungu,Lwabenge,Kiragga,Birongo 'B'
Buddu,Kalungu,Lwabenge,Kiragga,Birongo 'C'
Buddu,Kalungu,Kalungu,Bwasandeku,Bwasandeku
Buddu,Kalungu,Kalungu,Bwasandeku,Gayaaza
