Kyadondo,Kampala,Makindye Division,Katwe II,Byuma,1000000000,1200000000,750000000,900000000
Kyadondo,Kampala,Makindye Division,Katwe II,Katenda,1000000000,1500000000,800000000,1000000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Barracks,2000000000,3000000000,1500000000,2000000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Juuko,1500000000,2000000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Nabisalu,1500000000,2000000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Nkere,1500000000,2000000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Wasswa,1500000000,2000000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye I,St. Bendect,1800000000,2100000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Kanakulya,1500000000,2000000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Nsuwa,1500000000,2000000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Kapeke,1500000000,2000000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Masaku,1500000000,2000000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye I,Wanyana,1500000000,2000000000,1000000000,1200000000
Kyadondo,Kampala,Makindye Division,Kibuye II,Kategula,1000000000,1500000000,800000000,1000000000
Kyadondo,Kampala,Makindye Division,Kibuye II,Kavule,1000000000,1200000000,800000000,1000000000
Kyadondo,Kampala,Makindye Division,Kibuye II,Kirundu,1000000000,1200000000,800000000,1000000000
Kyadondo,Kampala,Makindye Division,Kibuye II,Wansanso,1000000000,1200000000,800000000,1000000000
Kyadondo,Kampala,Makindye Division,Kibuye II,Lubiri,1000000000,1200000000,800000000,1000000000
Kyadondo,Kampala,Makindye Division,Kibuye II,Lwanga,1000000000,1200000000,800000000,1000000000
Kyadondo,Kampala,Makindye Division,Kibuye II,Nyago,1000000000,1200000000,800000000,1000000000
